,chapters_lemmas
say,172
man,84
boy,65
little,62
come,62
king,55
mother,48
know,47
good,45
great,44
see,43
time,39
look,39
go,38
read,37
hear,34
picture,34
ask,33
ride,33
think,32
horse,31
answer,31
day,30
old,30
learn,29
like,29
word,29
soldier,28
book,27
call,26
child,26
hand,25
wolf,25
wish,25
grow,24
write,24
take,23
begin,23
caliph,23
give,22
away,22
year,22
stand,21
place,21
school,21
famous,21
tell,21
country,21
bird,21
live,20
cry,20
Benjamin,20
wise,20
home,20
father,19
soon,19
footnote,19
thing,18
illustration,17
shall,17
poet,17
speak,16
shepherd,16
try,16
people,16
far,16
love,16
long,16
young,16
near,15
let,15
shoe,15
fly,15
Cyrus,15
master,15
oh,15
yes,15
lamb,15
ready,14
help,14
way,14
whisper,14
grandfather,14
friend,14
wait,13
beautiful,13
Henry,13
teacher,13
King,13
eye,13
o,13
draw,13
Dean,13
lad,12
run,12
brave,12
door,12
Putnam,12
face,12
tree,12
send,12
sheep,12
ago,11
battle,11
paint,11
world,11
girl,11
city,11
open,11
hold,11
Boston,11
night,11
room,11
turn,11
watch,11
morning,11
baby,11
whistle,11
mind,11
feast,10
stop,10
house,10
pro,10
quickly,10
farmer,10
sit,10
wonderful,10
bring,10
hour,10
till,10
find,10
Al,10
carry,10
prince,10
road,10
Revere,10
walk,10
care,10
Paul,10
sir,9
want,9
manner,9
tall,9
true,9
well,9
Jefferson,9
lose,9
fight,9
half,9
feel,9
Edward,9
Alfred,9
eat,9
fall,9
Daniel,9
forget,9
buy,9
afraid,9
flower,9
honor,9
field,8
George,8
grass,8
president,8
mud,8
hurry,8
captain,8
Lucy,8
smile,8
Gilbert,8
wonder,8
sister,8
fine,8
everybody,8
cave,8
dear,8
beco,8
teach,8
England,8
gun,8
show,8
hill,8
meet,8
Exeter,8
minute,8
poor,8
nail,8
verse,8
flock,8
lawyer,8
remember,8
noble,8
ground,8
piece,8
rich,7
sure,7
bad,7
James,7
Billy,7
Astyages,7
small,7
lesson,7
queen,7
minister,7
head,7
strong,7
stranger,7
Jones,7
Webster,7
Finney,7
throw,7
officer,7
turnip,7
slate,7
story,7
Lincoln,7
play,7
Zeuxis,7
Hogg,7
clock,7
painter,7
leave,7
light,7
make,7
spring,7
proud,7
big,7
ball,7
free,6
Sirrah,6
river,6
british,6
end,6
bee,6
poem,6
Mother,6
dark,6
kill,6
Concord,6
round,6
beast,6
penny,6
wisdom,6
composition,6
hard,6
pretty,6
plan,6
