,chapters_lemmas
Bingley,111
say,86
Miss,75
Bennet,71
Elizabeth,71
Darcy,70
sister,50
think,49
know,46
Jane,45
dance,35
young,34
good,34
lady,32
great,30
dear,28
like,28
room,28
man,27
friend,27
see,26
woman,26
well,25
hear,24
girl,24
cry,23
come,23
wish,23
answer,22
soon,22
time,22
manner,22
little,22
mother,22
Lucas,21
day,21
walk,20
reply,20
evening,20
Hurst,20
look,19
leave,19
sure,19
visit,19
shall,19
Netherfield,19
daughter,19
mean,18
tell,18
give,17
thing,17
oh,17
hope,17
country,16
morning,16
begin,16
half,16
Meryton,16
eye,16
long,15
body,15
meet,15
attention,15
ball,15
pleasure,15
till,15
immediately,15
speak,15
ask,14
love,14
Sir,14
certainly,14
Lizzy,14
party,14
father,14
consider,14
gentleman,13
want,13
yes,13
way,13
find,13
fine,13
believe,13
brother,12
add,12
write,12
word,12
observe,12
town,12
general,12
family,12
take,12
continue,12
return,12
ill,12
handsome,12
house,11
feel,11
subject,11
William,11
go,11
dare,11
pretty,11
receive,11
turn,11
Lydia,11
neighbourhood,10
large,10
agreeable,10
talk,10
deal,10
fortune,10
advantage,10
desire,10
assure,10
opinion,10
letter,10
place,10
character,10
Long,10
year,9
wife,9
suppose,9
Mary,9
world,9
beauty,9
Eliza,9
person,9
life,9
assembly,9
officer,9
compliment,9
Charlotte,9
have,9
let,9
people,9
wait,8
away,8
moment,8
mention,8
business,8
express,8
join,8
CHAPTER,8
sit,8
idea,8
hour,8
end,8
conversation,8
Longbourn,8
thousand,8
feeling,8
admiration,8
afraid,8
send,8
pass,8
smile,8
offer,8
stand,8
present,8
horse,7
follow,7
affection,7
temper,7
fancy,7
pleasing,7
declare,7
book,7
listen,7
stay,7
admire,7
heart,7
humour,7
charming,7
oblige,7
dislike,7
settle,7
home,7
mile,7
proud,7
matter,7
allow,7
live,7
eld,7
ought,7
draw,7
Pemberley,7
partner,7
expect,7
bring,7
mind,7
nonsense,6
occasion,6
husband,6
breakfast,6
spend,6
shew,6
appear,6
grow,6
regard,6
quit,6
design,6
read,6
delight,6
dinner,6
short,6
request,6
object,6
wonder,6
kindness,6
acquaint,6
disposition,6
honour,6
dine,6
fix,6
chance,6
acquaintance,6
beautiful,6
case,6
note,6
pleasant,6
London,6
question,6
argument,6
convince,6
carriage,6
pride,6
early,6
intend,6
pay,6
countenance,6
high,6
air,6
child,6
bad,6
table,6
Lady,6
introduce,6
call,6
particular,6
near,6
attend,5
determine,5
equally,5
certain,5
play,5
Colonel,5
accomplished,5
delightful,5
hand,5
tall,5
Forster,5
make,5
delighted,5
far,5
lively,5
happiness,5
rest,5
cold,5
particularly,5
form,5
easy,5
address,5
recommend,5
agree,5
society,5
second,5
catch,5
servant,5
discover,5
uncommonly,5
move,5
aunt,5
marry,5
praise,5
civil,5
purchase,5
invitation,5
promise,5
night,5
sort,5
doubt,5
hardly,5
merely,5
remain,5
help,5
kind,5
course,5
acknowledge,5
library,5
remember,5
perfect,5
minute,5
uncle,5
repeat,4
behaviour,4
estate,4
accept,4
Philips,4
exactly,4
supply,4
disagreeable,4
slight,4
Catherine,4
law,4
twice,4
spirit,4
entertain,4
Jones,4
advice,4
consequence,4
plan,4
credit,4
rain,4
tolerable,4
fashion,4
imagine,4
pause,4
order,4
Carter,4
Captain,4
taste,4
care,4
neighbour,4
plain,4
indifference,4
silence,4
cough,4
equal,4
common,4
yield,4
accomplish,4
mend,4
Charles,4
spite,4
fall,4
Kitty,4
comprehend,4
sake,4
head,4
engage,4
deserve,4
impossible,4
employ,4
knowledge,4
glad,4
line,4
self,4
vanity,4
chuse,4
age,4
silly,4
understand,4
run,4
satisfied,4
right,4
probably,4
respect,4
remarkably,4
fortnight,4
thank,4
degree,4
chaise,4
single,4
appearance,4
different,4
enter,4
get,4
sweet,4
notice,4
perfectly,4
succeed,4
neglect,4
face,4
scarcely,4
suspect,4
expression,4
married,4
card,4
likely,4
study,4
entirely,4
felicity,4
superior,4
sensible,4
possible,4
open,4
intimate,3
Robinson,3
absolutely,3
close,3
importance,3
attempt,3
purpose,3
small,3
unwilling,3
overhear,3
Lucases,3
necessary,3
nature,3
sufficiently,3
remove,3
clever,3
situation,3
sing,3
