,chapter_nonstop
.,1196
",",861
"""",816
"
",807
"

",528
said,164
!,98
?,75
;,67
"
      ",58
little,58
boy,52
king,51
mother,48
man,44
],39
time,38
came,37
great,37
men,36
[,36
:,34
Mr.,33
saw,33
good,32
-,32
"



",32
_,28
day,28
like,27
looked,27
asked,27
know,27
horse,26
read,26
soldiers,25
called,25
"




",25
old,24
answered,23
went,23
word,22
picture,22
heard,22
years,22
wolf,22
caliph,22
school,21
famous,21
country,21
away,20
Benjamin,20
took,19
place,19
Footnote,19
father,19
began,18
home,17
learn,17
birds,17
"

      ",17
Illustration,17
people,16
lived,16
soon,16
book,16
Cyrus,15
children,15
gave,15
wise,15
master,15
thought,15
shall,15
long,15
shepherd,14
ready,14
ride,14
grandfather,14
wished,14
way,14
think,14
Oh,14
cried,14
far,14
King,14
teacher,13
poet,13
loved,13
O,13
eyes,13
tell,13
Yes,13
Henry,13
young,13
boys,13
Dean,13
beautiful,13
lambs,13
hand,12
going,12
),12
things,12
pictures,12
knew,12
door,12
(,12
Putnam,12
come,12
sheep,12
near,12
best,12
ago,11
morning,11
rode,11
Boston,11
help,11
world,11
lad,11
quickly,10
let,10
whistle,10
brave,10
battle,10
pro,10
city,10
night,10
wonderful,10
baby,10
child,10
mind,10
Al,10
hands,10
hear,10
books,10
house,10
Revere,10
Paul,10
grow,10
Alfred,9
learned,9
tried,9
Daniel,9
turned,9
true,9
want,9
grew,9
sir,9
ran,9
flowers,9
stood,9
held,9
Edward,9
room,9
feast,9
lost,9
half,9
face,9
written,9
speak,9
British,9
"


",9
afraid,9
write,9
Exeter,9
care,9
Jefferson,9
answer,8
till,8
dear,8
Gilbert,8
England,8
seen,8
George,8
friends,8
poor,8
showed,8
wish,8
Lucy,8
grass,8
ground,8
mud,8
cave,8
shoes,8
president,8
captain,8
Lincoln,7
Hogg,7
clock,7
smiled,7
stopped,7
stranger,7
Zeuxis,7
standing,7
Billy,7
rich,7
James,7
words,7
painted,7
small,7
Jones,7
',7
Webster,7
sure,7
Read,7
whispered,7
slate,7
hour,7
Finney,7
turnip,7
road,7
proud,7
manners,7
find,7
strong,7
known,7
--,7
coming,7
tall,7
Astyages,7
fine,7
minister,7
sister,7
hurried,6
honor,6
thing,6
pleased,6
Little,6
right,6
painter,6
Boyle,6
bright,6
free,6
hard,6
river,6
Andrew,6
girl,6
Concord,6
draw,6
Mother,6
